,DISTRICT,ST_NM,ST_CEN_CD,DT_CEN_CD,censuscode
396,Nalgonda,Andhra Pradesh,28,8,539
397,Namakkal,Tamil Nadu,33,8,609
398,Nanded,Maharashtra,27,15,511
399,Nandurbar,Maharashtra,27,1,497
400,Narayanpur,Chhattisgarh,22,16,415
401,Narmada,Gujarat,24,20,487
402,Narsinghpur,Madhya Pradesh,23,35,452
403,Nashik,Maharashtra,27,20,516
404,Navsari,Gujarat,24,23,490
405,Nawada,Bihar,10,35,237
406,Nayagarh,Odisha,21,16,385
407,Neemuch,Madhya Pradesh,23,15,432
408,S.P.S. Nellore,Andhra Pradesh,28,19,550
409,New Delhi,NCT of Delhi,7,5,94
410,Nizamabad,Andhra Pradesh,28,2,533
411,North Delhi,NCT of Delhi,7,2,91
412,North Sikkim,Sikkim,11,1,241
413,North 24 Parganas,West Bengal,19,11,337
414,Dima Hasao,Assam,18,16,315
415,North East Delhi,NCT of Delhi,7,3,92
416,North Goa,Goa,30,1,585
417,North Tripura,Tripura,16,4,292
418,North West Delhi,NCT of Delhi,7,1,90
419,Nuapada,Odisha,21,25,394
420,Osmanabad,Maharashtra,27,29,525
421,Pakur,Jharkhand,20,8,353
422,Palakkad,Kerala,32,6,593
423,Palamu,Jharkhand,20,13,358
424,Pali,Rajasthan,8,20,118
425,Palwal,Haryana,6,21,89
426,Panchmahal,Gujarat,24,17,484
427,Panchkula,Haryana,6,1,69
428,Panipat,Haryana,6,7,75
429,Panna,Madhya Pradesh,23,9,426
430,Papum Pare,Arunanchal Pradesh,12,4,248
431,Parbhani,Maharashtra,27,17,513
432,West Champaran,Bihar,10,1,203
433,Paschim Medinipur,West Bengal,19,18,344
434,West Singhbhum,Jharkhand,20,23,368
435,Patan,Gujarat,24,3,470
436,Pathanamthitta,Kerala,32,12,599
437,Patiala,Punjab,3,14,48
438,Patna,Bihar,10,28,230
439,Perambalur,Tamil Nadu,33,14,615
440,Peren,Nagaland,13,11,271
441,Phek,Nagaland,13,6,266
442,Pilibhit,Uttar Pradesh,9,20,151
443,Pithoragarh,Uttarakhand,5,7,62
444,Porbandar,Gujarat,24,11,478
445,Prakasam,Andhra Pradesh,28,18,549
446,Pratapgarh,Rajasthan,8,33,131
447,Pratapgarh,Uttar Pradesh,9,42,173
448,Pudukkottai,Tamil Nadu,33,20,621
449,Pulwama,Jammu & Kashmir,1,12,12
450,Punch,Jammu & Kashmir,1,5,5
451,Pune,Maharashtra,27,25,521
452,East Champaran,Bihar,10,2,204
453,Purba Medinipur,West Bengal,19,19,345
454,East Singhbhum,Jharkhand,20,12,357
455,Puri,Odisha,21,18,387
456,Purnia,Bihar,10,9,211
457,Purulia,West Bengal,19,14,340
458,Rae Bareli,Uttar Pradesh,9,27,158
459,Raichur,Karnataka,29,5,559
460,Raigarh,Chhattisgarh,22,4,403
461,Raigarh,Maharashtra,27,24,520
462,Raipur,Chhattisgarh,22,11,410
463,Raisen,Madhya Pradesh,23,29,446
464,Rajouri,Jammu & Kashmir,1,6,6
465,Rajgarh,Madhya Pradesh,23,25,442
466,Rajkot,Gujarat,24,9,476
467,Rajnandgaon,Chhattisgarh,22,9,408
468,Rajsamand,Rajasthan,8,25,123
469,Ramanagara,Karnataka,29,30,584
470,Ramanathapuram,Tamil Nadu,33,25,626
471,Ramban,Jammu & Kashmir,1,17,17
472,Ramgarh,Jharkhand,20,16,361
473,Rampur,Uttar Pradesh,9,5,136
474,Ranchi,Jharkhand,20,19,364
475,Ranga Reddy,Andhra Pradesh,28,6,537
476,Ratlam,Madhya Pradesh,23,17,434
477,Ratnagiri,Maharashtra,27,32,528
478,Rayagada,Odisha,21,27,396
479,Reasi,Jammu & Kashmir,1,20,20
480,Rewa,Madhya Pradesh,23,13,430
481,Rewari,Haryana,6,17,85
482,Ribhoi,Meghalaya,17,5,297
483,Rohtak,Haryana,6,14,82
484,Rohtas,Bihar,10,32,234
485,Rudraprayag,Uttarakhand,5,3,58
486,Rupnagar,Punjab,3,17,51
487,Sabarkantha,Gujarat,24,5,472
488,Sagar,Madhya Pradesh,23,10,427
489,Saharanpur,Uttar Pradesh,9,1,132
490,Saharsa,Bihar,10,12,214
491,Sahibganj,Jharkhand,20,7,352
492,S.A.S. Nagar,Punjab,3,18,52
493,Saiha,Mizoram,15,8,288
494,Salem,Tamil Nadu,33,7,608
495,Samastipur,Bihar,10,19,221
496,Samba,Jammu & Kashmir,1,22,22
497,Sambalpur,Odisha,21,3,372
498,Sangli,Maharashtra,27,35,531
499,Sangrur,Punjab,3,19,53
500,Sant Kabir Nagar,Uttar Pradesh,9,55,186
501,Bhadohi,Uttar Pradesh,9,67,198
502,Saraikela-Kharsawan,Jharkhand,20,24,369
503,Saran,Bihar,10,17,219
504,Satara,Maharashtra,27,31,527
505,Satna,Madhya Pradesh,23,12,429
506,Sehore,Madhya Pradesh,23,28,445
507,Senapati,Manipur,14,1,272
508,Seoni,Madhya Pradesh,23,39,456
509,Serchhip,Mizoram,15,5,285
510,Shahdol,Madhya Pradesh,23,43,460
511,Shahid Bhagat Singh Nagar,Punjab,3,5,39
512,Shahjahanpur,Uttar Pradesh,9,21,152
513,Shajapur,Madhya Pradesh,23,19,436
514,Sheikhpura,Bihar,10,26,228
515,Sheohar,Bihar,10,3,205
516,Sheopur,Madhya Pradesh,23,1,418
517,Shimla,Himachal Pradesh,2,11,33
518,Shivamogga,Karnataka,29,14,568
519,Shivpuri,Madhya Pradesh,23,6,423
520,Shrawasti,Uttar Pradesh,9,50,181
521,Shopiyan,Jammu & Kashmir,1,13,13
522,Sivasagar,Assam,18,12,311
523,Siddharthnagar,Uttar Pradesh,9,53,184
524,Sidhi,Madhya Pradesh,23,45,462
525,Sikar,Rajasthan,8,13,111
526,Simdega,Jharkhand,20,22,367
527,Sindhudurg,Maharashtra,27,33,529
528,Singrauli,Madhya Pradesh,23,46,463
529,Sirmaur,Himachal Pradesh,2,10,32
530,Sirohi,Rajasthan,8,19,117
531,Sirsa,Haryana,6,11,79
532,Sitamarhi,Bihar,10,4,206
533,Sitapur,Uttar Pradesh,9,23,154
534,Sivaganga,Tamil Nadu,33,21,622
535,Siwan,Bihar,10,16,218
536,Solan,Himachal Pradesh,2,9,31
537,Solapur,Maharashtra,27,30,526
538,Subarnapur,Odisha,21,23,392
